pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_KC,eta_SL,eta_ST,eta_SV
SI,2025-10-10,94.9,-2.37,4.99,"Castillo, Luis",681481,622491,,called_strike,,,,,4,Called Strike,D,L,R,SEA,DET,S,,,0,0,2025,1.64,0.29,-0.8,2.48,,,,0,15,Top,,,,,,,7.616452302526432,-137.91639308397143,-1.468909952314701,-22.651779264648827,33.65090358960902,-28.348331294059832,3.39,1.62,,,,92.7,2156,5.3,813054,663728,647304,593871,553993,641487,668227,677594,645302,55.22,,,,,,,,110,1,Sinker,2,2,2,2,2,2,2,2,Infield shade,Standard,238,0.0,-0.039,,,,0.039,,0,0,0.5,0.5,32,27,33,28,1,6,,,,,2.27,1.64,-1.64,,,,,,,"Castillo, Luis",622491,R,0.913,0.931,,0.922,,,,0.132,,
SI,2025-10-10,95.8,-1.93,5.72,"Bazardo, Eduard",679529,660825,,called_strike,,,,,9,Called Strike,D,R,R,SEA,DET,S,,,0,1,2025,1.53,0.87,0.64,2.26,,,,1,13,Top,,,,,,,10.1752224644628,-138.9651872153131,-5.414312621849486,-22.17472601406628,33.005888790558934,-19.789265666130746,3.55,1.69,,,,94.9,2146,6.1,813054,663728,647304,593871,553993,641487,668227,677594,645302,54.44,,,,,,,,96,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,218,0.0,-0.052,,,,0.052,,0,0,0.558,0.442,29,25,30,26,1,5,,,,,1.64,1.53,1.53,,,,,,,"Bazardo, Eduard",660825,R,0.918,0.919,,,0.882,,,0.5970000000000001,,
SI,2025-10-10,95.9,-1.75,5.41,"Kirby, George",690993,669923,,called_strike,,,,,6,Called Strike,D,L,R,SEA,DET,S,,,2,1,2025,1.5,0.51,0.43,2.23,,,,2,4,Top,,,,,,,9.20027500705495,-139.36594843661845,-3.959227455214021,-21.56444185113805,30.65630630324744,-24.83328901638322,3.35,1.59,,,,96.4,2283,6.6,813054,663728,647304,593871,553993,641487,668227,677594,645302,53.9,,,,,,,,25,4,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,228,0.0,-0.073,,,,0.073,,1,-1,0.677,0.323,27,23,27,24,2,1,,,,,1.97,1.5,-1.5,,,,,,,"Kirby, George",669923,R,0.8940000000000001,0.875,,0.962,0.901,0.81,0.81,0.545,,
SI,2025-10-10,95.8,-1.88,5.52,"Bazardo, Eduard",678009,660825,strikeout,called_strike,,,,,3,Parker Meadows called out on strikes.,D,L,R,SEA,DET,S,2.0,,2,2,2025,1.49,0.64,0.61,3.16,,693307.0,,1,14,Top,,,,,,,9.854559114675885,-139.06091406940016,-2.008789484072134,-21.55745044868504,33.3930350614552,-23.61792985560993,3.5,1.71,,,,94.8,2378,6.0,813054,663728,647304,593871,553993,641487,668227,677594,645302,54.51,,0.0,0.0,1.0,0.0,0.0,,104,5,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,216,0.092,-0.228,,,,0.228,,0,0,0.438,0.562,29,25,30,26,2,5,,,,,1.87,1.49,-1.49,,,,,,,"Bazardo, Eduard",660825,R,0.918,0.919,,,0.882,,,0.5970000000000001,,
SI,2025-10-10,95.7,-1.99,5.72,"Bazardo, Eduard",682985,660825,,called_strike,,,,,6,Called Strike,D,L,R,SEA,DET,S,,,1,1,2025,1.46,1.03,0.5,2.82,,,,0,13,Top,,,,,,,9.764410332709048,-138.8583178757579,-4.248250912354676,-21.17063377896831,33.88669603170001,-18.10712515145274,3.63,1.72,,,,94.5,2112,5.9,813054,663728,647304,593871,553993,641487,668227,677594,645302,54.58,,,,,,,,95,3,Sinker,2,2,2,2,2,2,2,2,Infield shade,Standard,220,0.0,-0.061,,,,0.061,,0,0,0.5,0.5,29,24,30,25,1,5,,,,,1.49,1.46,-1.46,,,,,,,"Bazardo, Eduard",660825,R,0.918,0.919,,,0.882,,,0.5970000000000001,,
SI,2025-10-10,95.7,-1.7,5.63,"Kirby, George",678009,669923,,called_strike,,,,,6,Called Strike,D,L,R,SEA,DET,S,,,0,1,2025,1.45,0.55,0.63,2.86,,,,0,3,Top,,,,,,,9.446572023160396,-139.05816553442705,-2.947520892925386,-20.941798835239563,29.69682520079919,-24.577655325967644,3.5,1.71,,,,96.0,2288,6.5,813054,663728,647304,593871,553993,641487,668227,677594,645302,54.05,,,,,,,,16,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,223,0.0,-0.055,,,,0.055,,1,-1,0.617,0.383,27,25,27,26,1,0,,,,,1.94,1.45,-1.45,,,,,,,"Kirby, George",669923,R,0.8940000000000001,0.875,,0.962,0.901,0.81,0.81,0.545,,
SI,2025-10-10,94.8,-1.73,5.42,"Kirby, George",656716,669923,,called_strike,,,,,5,Called Strike,D,L,R,SEA,DET,S,,,3,1,2025,1.45,0.68,0.05,2.53,,,,0,5,Top,,,,,,,7.947770170668924,-137.86296889646673,-3.417161892910376,-20.229477801938813,31.398133236800845,-22.90654353125228,3.28,1.53,,,,95.5,2272,6.8,813054,663728,647304,593871,553993,641487,668227,677594,645302,53.74,,,,,,,,30,5,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,226,0.0,-0.094,,,,0.094,,1,-1,0.644,0.356,27,30,27,30,2,1,,,,,1.86,1.45,-1.45,,,,,,,"Kirby, George",669923,R,0.8940000000000001,0.875,,0.962,0.901,0.81,0.81,0.545,,
SI,2025-10-10,94.7,-1.81,5.46,"Kirby, George",656716,669923,,called_strike,,,,,1,Called Strike,D,L,R,SEA,DET,S,,,3,0,2025,1.43,0.66,-0.58,2.82,,,,0,5,Top,,,,,,,6.441701023841134,-137.72112436868002,-2.697219918025492,-19.63553922808449,30.990468531434445,-23.34645537417345,3.28,1.53,,,,95.2,2225,6.6,813054,663728,647304,593871,553993,641487,668227,677594,645302,53.88,,,,,,,,30,4,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,230,0.0,-0.091,,,,0.091,,1,-1,0.644,0.356,27,30,27,30,2,1,,,,,1.88,1.43,-1.43,,,,,,,"Kirby, George",669923,R,0.8940000000000001,0.875,,0.962,0.901,0.81,0.81,0.545,,
CH,2025-10-10,87.8,1.73,6.13,"Skubal, Tarik",668227,669373,,called_strike,,,,,7,Called Strike,D,R,L,SEA,DET,S,,,1,0,2025,1.42,0.65,-0.67,2.14,,,,1,3,Bot,,,,,,,-8.775696105666354,-127.58185475050576,-4.888965608382156,17.293598679254966,25.48986093680103,-24.22531623673978,3.43,1.69,,,,88.2,1822,6.6,813054,693307,679529,650402,656716,595879,682985,678009,681481,53.94,,,,,,,,21,2,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,135,0.0,-0.05,,,,0.05,,1,1,0.653,0.653,28,30,29,30,2,1,,,,,2.31,1.42,-1.42,,,,,,,"Skubal, Tarik",669373,L,0.905,0.873,,0.7959999999999999,,0.53,0.53,0.3279999999999999,,
SI,2025-10-10,95.0,-2.01,5.65,"Bazardo, Eduard",690993,660825,,called_strike,,,,,6,Called Strike,D,L,R,SEA,DET,S,,,2,1,2025,1.4,0.53,0.61,2.25,,,,2,13,Top,,,,,,,9.9248597117345,-137.88684149306073,-4.358540918708103,-20.112088607130957,33.3007375129802,-24.547006611554195,3.35,1.59,,,,94.1,2237,6.1,813054,663728,647304,593871,553993,641487,668227,677594,645302,54.39,,,,,,,,97,4,Sinker,2,2,2,2,2,2,2,2,Infield shade,Standard,213,0.0,-0.073,,,,0.073,,0,0,0.602,0.398,29,23,30,24,1,5,,,,,2.02,1.4,-1.4,,,,,,,"Bazardo, Eduard",660825,R,0.918,0.919,,,0.882,,,0.5970000000000001,,
