pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-08-02,96.6,1.47,6.41,"Skubal, Tarik",664056,669373,field_out,hit_into_play,,,,,12,Harrison Bader flies out to second baseman Gleyber Torres.,R,R,L,PHI,DET,X,4.0,fly_ball,3,2,2025,0.33,1.56,0.94,3.22,,,,0,7,Bot,158.46,132.76,,,,,-2.181008855443232,-140.49622992179235,-6.496357088502952,4.858785033443403,33.231172164607095,-10.23511706444798,3.2,1.53,161.0,91.3,64.0,97.0,2388,6.7,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.84,0.001,0.0,0.0,1.0,0.0,0.0,3.0,56,6,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,153,-0.038,-0.333,73.9,7.3,0.001,0.333,91.3,-2,-2,0.209,0.209,28,31,29,31,3,2,,,,,0.89,0.33,-0.33,,11.509719327679605,0.0367167013489392,14.180970650129757,44.38284926616424,28.446351629125644
CH,2025-08-02,89.4,1.88,6.16,"Skubal, Tarik",664056,669373,,ball,,,,,13,Harrison Bader flies out to second baseman Gleyber Torres.,R,R,L,PHI,DET,B,,,2,2,2025,1.31,0.31,-0.36,0.63,,,,0,7,Bot,,,,,,,-8.339200016050084,-129.7740219084067,-8.324963109506966,16.541653443677234,25.372603745555537,-27.17864055184653,3.34,1.53,,,,90.1,1852,6.7,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.82,,,,,,,,56,5,Changeup,3,5,3,5,5,3,3,5,Standard,Standard,125,0.0,0.107,,,,-0.107,,-2,-2,0.209,0.209,28,31,29,31,3,2,,,,,2.54,1.31,-1.31,,,,,,
FF,2025-08-02,97.9,1.6,6.37,"Skubal, Tarik",664056,669373,,ball,,,,,12,Harrison Bader flies out to second baseman Gleyber Torres.,R,R,L,PHI,DET,B,,,1,2,2025,0.21,1.54,1.17,2.86,,,,0,7,Bot,,,,,,,-1.6395821387979326,-142.40806650303227,-7.543915301757794,3.2386812173317314,35.1859039393091,-9.731093156889354,3.32,1.57,,,,98.1,2442,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.9,,,,,,,,56,4,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,153,0.0,0.04,,,,-0.04,,-2,-2,0.209,0.209,28,31,29,31,3,2,,,,,0.86,0.21,-0.21,,,,,,
CH,2025-08-02,87.1,1.95,6.15,"Skubal, Tarik",664056,669373,,swinging_strike,,,,,14,Harrison Bader flies out to second baseman Gleyber Torres.,R,R,L,PHI,DET,S,,,1,1,2025,1.54,0.31,1.81,1.69,,,,0,7,Bot,,,,,,,-3.52435276642041,-126.69775959590532,-5.119483245099491,17.234091134130722,28.83061401464816,-27.951878029314805,3.2,1.53,,,,87.1,1841,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.94,,,,,,,,56,3,Changeup,3,5,3,5,5,3,3,5,Standard,Standard,124,0.0,-0.056,65.3,8.2,,0.056,,-2,-2,0.209,0.209,28,31,29,31,3,2,,,,,2.73,1.54,-1.54,,17.51853272746769,-17.884596963503878,23.206259155660675,55.54358777791807,40.241449661780905
FF,2025-08-02,95.8,1.53,6.43,"Skubal, Tarik",664056,669373,,foul,,,,,2,Harrison Bader flies out to second baseman Gleyber Torres.,R,R,L,PHI,DET,S,,,1,0,2025,0.39,1.44,-0.02,3.06,,,,0,7,Bot,,,,,,,-5.00191840199421,-139.35582084113904,-6.565580819454942,6.279625486164083,33.48547010033095,-12.073029539338751,3.2,1.53,258.0,80.7,54.0,96.0,2318,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.89,,,,,,,,56,2,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,151,0.0,-0.049,74.2,7.2,,0.049,88.0,-2,-2,0.209,0.209,28,31,29,31,3,2,,,,,1.05,0.39,-0.39,,11.540079294289775,-16.925501926109778,20.266171684407933,34.945122755316646,36.23305312656504
FF,2025-08-02,97.4,1.56,6.42,"Skubal, Tarik",664056,669373,,ball,,,,,12,Harrison Bader flies out to second baseman Gleyber Torres.,R,R,L,PHI,DET,B,,,0,0,2025,0.16,1.42,0.72,4.07,,,,0,7,Bot,,,,,,,-2.6479543660185008,-141.81952513942875,-4.061458855394294,2.750996687795513,34.33457073786818,-12.38423902094454,3.27,1.55,,,,97.7,2291,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.93,,,,,,,,56,1,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,159,0.0,0.038,,,,-0.038,,-2,-2,0.209,0.209,28,31,29,31,3,2,,,,,1.0,0.16,-0.16,,,,,,
CH,2025-08-02,86.8,1.9,6.31,"Skubal, Tarik",592206,669373,home_run,hit_into_play,,,,,5,Nick Castellanos homers (15) on a fly ball to center field. J.T. Realmuto scores.,R,R,L,PHI,DET,X,,fly_ball,0,0,2025,1.38,0.47,0.24,2.59,,592663.0,,0,7,Bot,102.26,27.25,,,,,-6.817811089341394,-126.069509355883,-3.5430912093810654,16.109035747957815,30.40124990281653,-26.645237890885618,3.9,1.87,428.0,107.6,32.0,86.4,1898,6.5,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.96,0.929,1.865,2.0,1.0,0.0,3.0,6.0,55,1,Changeup,1,5,1,5,5,3,3,5,Standard,Standard,128,0.103,1.017,75.9,7.9,3.678,-1.017,107.6,-4,-4,0.106,0.106,28,33,29,33,3,2,,,,,2.62,1.38,-1.38,,20.206113120249235,-2.0865114212972395,40.60423755409374,38.09885534586664,32.93280301539482
CH,2025-08-02,87.8,2.15,6.13,"Skubal, Tarik",592663,669373,double,hit_into_play,,,,,8,J.T. Realmuto doubles (20) on a line drive to left fielder Riley Greene. Bryce Harper scores.,R,R,L,PHI,DET,X,7.0,line_drive,0,1,2025,1.41,0.33,-0.17,2.05,,,547180.0,0,7,Bot,43.33,114.9,,,,,-8.571984893536312,-127.47713335711596,-4.410555110757192,17.161492084033018,27.579199107805213,-27.785896769009494,3.67,1.7,290.0,83.6,26.0,88.0,1895,6.7,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.84,0.134,0.149,1.25,1.0,1.0,1.0,3.0,54,2,Changeup,0,5,0,5,5,1,1,5,Standard,Standard,132,0.054,0.775,77.8,8.4,0.219,-0.775,88.0,-5,-5,0.052,0.052,28,34,29,34,3,2,,,,,2.65,1.41,-1.41,,27.483702345789865,-28.541755236115964,37.41280380320884,34.66463354534032,44.06276891579372
CH,2025-08-02,87.3,2.08,6.21,"Skubal, Tarik",592663,669373,,called_strike,,,,,8,J.T. Realmuto doubles (20) on a line drive to left fielder Riley Greene. Bryce Harper scores.,R,R,L,PHI,DET,S,,,0,0,2025,1.38,0.34,0.05,1.89,,,547180.0,0,7,Bot,,,,,,,-7.727689797162098,-126.86469315477488,-4.907702739863487,16.472375201365054,26.595014854130337,-27.708276500610893,3.89,1.85,,,,87.3,1822,6.4,776912,693307,679529,650402,656716,595879,682985,663837,672761,54.05,,,,,,,,54,1,Changeup,0,5,0,5,5,0,0,5,Standard,Standard,134,0.0,-0.042,,,,0.042,,-5,-5,0.052,0.052,28,34,29,34,3,2,,,,,2.67,1.38,-1.38,,,,,,
SI,2025-08-02,98.7,1.44,6.45,"Skubal, Tarik",547180,669373,single,hit_into_play,,,,,9,Bryce Harper singles on a ground ball to right fielder Wenceel Pérez.,R,L,L,PHI,DET,X,9.0,ground_ball,2,2,2025,1.0,1.26,0.37,2.05,,,,0,7,Bot,185.41,102.93,,,,,-5.263291007547519,-143.33173429316838,-9.447695997057467,14.982635300613234,33.38888438351778,-12.821481850664632,3.19,1.55,15.0,95.6,-7.0,98.9,2326,6.5,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.96,0.194,0.187,0.9,1.0,1.0,0.0,2.0,53,8,Sinker,0,5,0,5,5,0,0,5,Infield shade,Standard,156,0.019,0.476,75.5,7.1,0.214,-0.476,95.6,-5,-5,0.033,0.033,28,32,29,33,3,2,,,,,1.09,1.0,1.0,,5.09372874206111,2.368928917993329,39.12727860442474,34.90529534098664,27.36901061032312
SI,2025-08-02,98.8,1.49,6.38,"Skubal, Tarik",547180,669373,,foul,,,,,8,Bryce Harper singles on a ground ball to right fielder Wenceel Pérez.,R,L,L,PHI,DET,S,,,2,2,2025,1.12,1.21,-0.03,1.9,,,,0,7,Bot,,,,,,,-6.782663943447484,-143.43782319967673,-9.584452403738489,17.11047637197045,34.06138154123911,-13.38623066270621,3.19,1.55,1.0,71.1,-53.0,99.1,2357,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.88,,,,,,,,53,7,Sinker,0,5,0,5,5,0,0,5,Infield shade,Standard,154,0.0,0.0,69.7,7.5,,0.0,88.0,-5,-5,0.033,0.033,28,32,29,33,3,2,,,,,1.14,1.12,1.12,,12.89512135146758,8.211268244333244,34.75894715095545,39.739791030323374,23.89464935820553
CH,2025-08-02,89.9,1.78,6.27,"Skubal, Tarik",547180,669373,,ball,,,,,13,Bryce Harper singles on a ground ball to right fielder Wenceel Pérez.,R,L,L,PHI,DET,B,,,1,2,2025,1.3,0.19,-0.9,0.26,,,,0,7,Bot,,,,,,,-9.438242374019923,-130.40825897726234,-9.340938549249264,16.76266385523733,26.16875150172996,-28.2308818641665,3.37,1.7,,,,90.4,1904,6.7,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.82,,,,,,,,53,6,Changeup,0,5,0,5,5,0,0,5,Infield shade,Standard,137,0.0,0.04,,,,-0.04,,-5,-5,0.033,0.033,28,32,29,33,3,2,,,,,2.64,1.3,1.3,,,,,,
FF,2025-08-02,98.7,1.39,6.55,"Skubal, Tarik",547180,669373,,ball,,,,,11,Bryce Harper singles on a ground ball to right fielder Wenceel Pérez.,R,L,L,PHI,DET,B,,,0,2,2025,0.3,1.53,-1.36,3.07,,,,0,7,Bot,,,,,,,-8.21000259342069,-143.3937043389397,-7.622760420994552,6.0408553188049146,32.675218695409846,-9.454582448575728,3.42,1.77,,,,99.2,2516,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.89,,,,,,,,53,5,4-Seam Fastball,0,5,0,5,5,0,0,5,Infield shade,Standard,159,0.0,0.023,,,,-0.023,,-5,-5,0.033,0.033,28,32,29,33,3,2,,,,,0.81,0.3,0.3,,,,,,
CH,2025-08-02,89.8,1.86,6.27,"Skubal, Tarik",547180,669373,,foul,,,,,13,Bryce Harper singles on a ground ball to right fielder Wenceel Pérez.,R,L,L,PHI,DET,S,,,0,2,2025,1.05,0.37,-0.49,0.86,,,,0,7,Bot,,,,,,,-8.045277529776506,-130.24174248880755,-8.119481244826906,13.668250525140786,29.73052567173345,-26.253527530611173,3.19,1.55,,,,89.5,1818,6.5,776912,693307,679529,650402,656716,595879,682985,663837,672761,54.0,,,,,,,,53,4,Changeup,0,5,0,5,5,0,0,5,Infield shade,Standard,135,0.0,0.0,61.7,8.3,,0.0,,-5,-5,0.033,0.033,28,32,29,33,3,2,,,,,2.49,1.05,1.05,,13.803292167060397,-11.92458001302706,39.53917307511598,44.944398222331685,33.45611697784729
SI,2025-08-02,98.2,1.71,6.4,"Skubal, Tarik",547180,669373,,foul,,,,,2,Bryce Harper singles on a ground ball to right fielder Wenceel Pérez.,R,L,L,PHI,DET,S,,,0,2,2025,1.42,1.04,0.12,2.84,,,,0,7,Bot,,,,,,,-7.60347885577622,-142.64522227089728,-6.524775702513431,21.195017328195664,35.415310143205375,-16.62439462797502,3.19,1.55,170.0,71.8,16.0,98.0,2362,6.4,776912,693307,679529,650402,656716,595879,682985,663837,672761,54.05,,,,,,,,53,3,Sinker,0,5,0,5,5,0,0,5,Infield shade,Standard,153,0.0,0.0,65.4,6.0,,0.0,88.0,-5,-5,0.033,0.033,28,32,29,33,3,2,,,,,1.35,1.42,1.42,,-11.548920265088212,32.60564330323579,36.11019810402047,37.65484530192951,14.290111077145584
FF,2025-08-02,97.0,1.39,6.53,"Skubal, Tarik",547180,669373,,foul,,,,,12,Bryce Harper singles on a ground ball to right fielder Wenceel Pérez.,R,L,L,PHI,DET,S,,,0,1,2025,0.09,1.33,0.36,3.44,,,,0,7,Bot,,,,,,,-2.9743490394124867,-141.2228886000453,-5.788175581771585,1.9086370682426088,31.528893053570474,-13.287127801776869,3.19,1.55,235.0,81.2,23.0,97.3,2258,6.4,776912,693307,679529,650402,656716,595879,682985,663837,672761,54.14,,,,,,,,53,2,4-Seam Fastball,0,5,0,5,5,0,0,5,Infield shade,Standard,156,0.0,-0.054,65.8,5.4,,0.054,88.0,-5,-5,0.033,0.033,28,32,29,33,3,2,,,,,1.09,0.09,0.09,,-9.87643131703705,29.11794506853401,36.20346876753811,35.15941020626262,11.022549643375918
SI,2025-08-02,96.4,1.42,6.42,"Skubal, Tarik",547180,669373,,foul,,,,,6,Bryce Harper singles on a ground ball to right fielder Wenceel Pérez.,R,L,L,PHI,DET,S,,,0,0,2025,1.03,1.02,0.68,2.45,,,,0,7,Bot,,,,,,,-4.327458903790151,-140.12881098824158,-7.240935739684585,14.569933919181366,36.31166933174926,-17.205789262512308,3.19,1.55,,,,96.3,2231,6.6,776912,693307,679529,650402,656716,595879,682985,663837,672761,53.9,,,,,,,,53,1,Sinker,0,5,0,5,5,0,0,5,Infield shade,Standard,164,0.0,-0.037,75.9,7.2,,0.037,,-5,-5,0.033,0.033,28,32,29,33,3,2,,,,,1.47,1.03,1.03,,10.17287479771898,5.147546026326711,36.4022048830247,32.065131110708506,23.9674870806573
FF,2025-08-02,97.8,1.62,6.44,"Skubal, Tarik",656941,669373,field_out,hit_into_play,,,,,11,Kyle Schwarber flies out to left fielder Riley Greene in foul territory.,R,L,L,PHI,DET,X,7.0,fly_ball,1,0,2025,0.27,1.73,-0.88,2.76,,642215.0,,2,6,Bot,58.41,149.38,,,,,-7.363828376303986,-141.84677330516217,-8.316300962751669,5.55683841837735,37.86367611439865,-7.102720566850992,3.35,1.5,207.0,87.7,55.0,97.3,2544,6.5,776912,693307,679529,650402,656716,595879,682985,672761,681481,53.95,0.014,0.014,0.0,1.0,0.0,0.0,3.0,46,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,156,-0.046,-0.315,72.7,7.3,0.021,0.315,88.0,-2,-2,0.222,0.222,28,32,29,32,3,2,,,,,0.7,0.27,0.27,,8.551119832088636,9.236354219125744,27.24451747399984,43.64304187767124,26.318960677448384
SL,2025-08-02,90.0,1.85,6.33,"Skubal, Tarik",656941,669373,,ball,,,,,13,Kyle Schwarber flies out to left fielder Riley Greene in foul territory.,R,L,L,PHI,DET,B,,,0,0,2025,-0.4,0.6,-2.32,1.84,,642215.0,,2,6,Bot,,,,,,,-9.546778317230434,-130.57812959804832,-6.411665993818891,-2.4292396071046243,28.96910663240274,-24.10498643646084,3.39,1.6,,,,90.3,2171,6.7,776912,693307,679529,650402,656716,595879,682985,672761,681481,53.75,,,,,,,,46,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,169,0.0,0.014,,,,-0.014,,-2,-2,0.222,0.222,28,32,29,32,3,2,,,,,2.25,-0.4,-0.4,,,,,,
SL,2025-08-02,92.1,2.1,6.26,"Skubal, Tarik",607208,669373,field_out,hit_into_play,,,,,7,"Trea Turner grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,PHI,DET,X,5.0,ground_ball,0,0,2025,-0.05,0.9,-0.43,1.85,,642215.0,,1,6,Bot,105.72,164.7,,,,,-6.364278235802489,-133.80926676140197,-7.333464712263431,0.8156692153041107,30.174891432987085,-19.879878951005665,3.49,1.69,9.0,94.5,-11.0,92.5,2234,6.7,776912,693307,679529,650402,656716,595879,682985,672761,681481,53.81,0.191,0.223,0.0,1.0,0.0,0.0,2.0,45,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,158,-0.052,-0.259,73.9,7.5,0.225,0.259,94.5,-2,-2,0.274,0.274,28,32,29,32,3,2,,,,,1.8,-0.05,0.05,,-0.5546226221762806,-2.713697740001239,39.29042923527328,31.97385866996664,27.24499132887224
