pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,eta_KC,IP
SI,2025-10-29,92.8,2.71,5.45,"Banda, Anthony",664702,607455,,called_strike,,,,,2,Called Strike,W,R,L,LAD,TOR,S,,,3,0,2025,1.45,0.79,0.17,3.5,,,643396.0,2,8,Top,,,,,,,-9.64434510050333,-134.7831895509137,-0.8986186067445339,19.737700269123227,29.705650068551787,-22.585193863072387,3.55,1.67,,,,92.7,1959,6.3,813022,669257,518692,669242,571970,605141,669743,571771,606192,54.16,,,,,,,,62,4,Sinker,1,6,6,1,6,1,6,1,Standard,Standard,132,-0.001,-0.048,,,,0.048,,-5,5,0.017,0.983,31,30,32,31,1,0,,,,,1.87,1.45,-1.45,,,,,,,"Banda, Anthony",607455,L,0.959,0.943,,0.991,,,0.273,,,,65.0
CH,2025-10-29,85.4,2.21,6.38,"Snell, Blake",643396,605483,,swinging_strike,,,,,14,Swinging Strike,W,R,L,LAD,TOR,S,,,1,0,2025,1.41,0.43,0.93,1.11,,,680718.0,1,2,Top,,,,,,,-5.916453185122441,-124.00423475547186,-6.989837119764276,15.725794694853136,25.94521084381945,-26.502913703798725,3.22,1.47,,,,86.0,1655,6.9,813022,669257,518692,669242,571970,605141,669743,571771,606192,53.6,,,,,,,,12,2,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,129,0.0,-0.056,65.2,8.9,,0.056,,-2,2,0.292,0.708,32,30,33,30,1,0,,,,,2.72,1.41,-1.41,,27.91045053161329,-28.762586997454505,31.64883690580449,44.4576162613969,47.55967313372422,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
SI,2025-10-29,95.0,2.59,5.55,"Banda, Anthony",680718,607455,,called_strike,,,,,7,Called Strike,W,L,L,LAD,TOR,S,,,0,0,2025,1.35,0.89,-0.51,2.28,,,676391.0,0,8,Top,,,,,,,-11.052251445992852,-137.92491876574965,-4.833105755022119,19.73201715139053,31.06209046336072,-19.90970798549212,3.73,1.8,,,,94.2,1999,6.0,813022,669257,518692,669242,571970,605141,669743,571771,606192,54.53,,,,,,,,59,1,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,132,0.0,-0.043,,,,0.043,,-4,4,0.027,0.973,31,25,32,26,1,3,,,,,1.65,1.35,1.35,,,,,,,"Banda, Anthony",607455,L,0.959,0.943,,0.991,,,0.273,,,,65.0
SI,2025-10-29,94.5,2.73,5.64,"Banda, Anthony",662139,607455,,called_strike,,,,,3,Called Strike,W,L,L,LAD,TOR,S,,,0,0,2025,1.33,0.94,0.71,3.01,665489.0,666182.0,672386.0,2,7,Top,,,,,,,-8.131869309812926,-137.26703995523337,-3.182556341097815,18.61952521224776,32.8495990170715,-19.832230419150694,3.46,1.58,,,,93.3,2075,5.9,813022,669257,518692,669242,571970,605141,669743,571771,606192,54.64,,,,,,,,54,1,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,135,0.0,-0.035,,,,0.035,,-4,4,0.049,0.951,31,28,32,29,1,3,,,,,1.64,1.33,1.33,,,,,,,"Banda, Anthony",607455,L,0.959,0.943,,0.991,,,0.273,,,,65.0
CH,2025-10-29,84.2,2.22,6.24,"Snell, Blake",676391,605483,,swinging_strike,,,,,9,Swinging Strike,W,R,L,LAD,TOR,S,,,0,0,2025,1.32,0.4,0.57,1.87,,,,2,6,Top,,,,,,,-6.504051335319082,-122.4654487698244,-4.573769199512407,14.526480128786211,24.44968652355144,-27.43841450085339,3.35,1.55,,,,84.9,1647,6.8,813022,669257,518692,669242,571970,605141,669743,571771,606192,53.7,,,,,,,,43,1,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,131,0.0,-0.043,66.9,8.1,,0.043,,-2,2,0.24,0.76,32,29,33,29,3,2,,,,,2.82,1.32,-1.32,,27.37315409879149,-31.423670376059867,32.46417110427337,42.94351723441137,44.91118850464935,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
SI,2025-10-29,95.3,2.59,5.54,"Banda, Anthony",680718,607455,,called_strike,,,,,7,Called Strike,W,L,L,LAD,TOR,S,,,0,1,2025,1.32,0.89,-0.66,1.93,,,676391.0,0,8,Top,,,,,,,-11.43867556083826,-138.19870752087434,-5.787218557334884,19.46736050834369,31.06468311349947,-19.65094340424985,3.76,1.8,,,,94.8,2015,6.2,813022,669257,518692,669242,571970,605141,669743,571771,606192,54.27,,,,,,,,59,2,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,134,0.0,-0.053,,,,0.053,,-4,4,0.027,0.973,31,25,32,26,1,3,,,,,1.64,1.32,1.32,,,,,,,"Banda, Anthony",607455,L,0.959,0.943,,0.991,,,0.273,,,,65.0
CH,2025-10-29,84.8,2.16,6.27,"Snell, Blake",666182,605483,strikeout,swinging_strike,,,,,14,Bo Bichette strikes out swinging.,W,R,L,LAD,TOR,S,2.0,,2,2,2025,1.31,0.59,0.6,1.12,,,,0,1,Top,,,,,,,-6.329911600290161,-123.12905776638596,-6.920388099291286,14.603814588059883,24.954041522466973,-24.9237534165174,3.71,1.75,,,,85.5,1879,6.9,813022,669257,518692,669242,571970,605141,669743,571771,606192,53.59,,0.0,0.0,1.0,0.0,0.0,,3,6,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,131,0.017,-0.232,71.4,8.4,,0.232,,-2,2,0.306,0.694,32,27,33,27,1,0,,,,,2.6,1.31,-1.31,,26.74228139911608,-21.794592532975532,43.04865306404204,38.539739025457,41.17188701916298,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
FS,2025-10-29,83.9,-0.55,7.25,"Yesavage, Trey",518692,702056,,called_strike,,,,,7,Called Strike,W,L,R,LAD,TOR,S,,,0,0,2025,1.29,0.79,-0.33,1.72,,,,0,2,Bot,,,,,,,3.010917065207648,-121.87781453664108,-7.827994801882386,-13.435801772510974,25.58741607749205,-22.89804381943816,3.64,1.82,,,,82.9,1875,5.8,813022,672386,665489,643396,676391,665926,676914,662139,680718,54.66,,,,,,,,14,1,Split-Finger,0,2,0,2,2,0,0,2,Infield shade,Standard,212,0.0,-0.039,,,,0.039,,-2,-2,0.331,0.331,21,35,22,36,1,0,,,,,2.48,1.29,-1.29,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
SI,2025-10-29,95.1,-2.64,6.27,"Treinen, Blake",666182,595014,,swinging_strike,,,,,9,Swinging Strike,W,R,R,LAD,TOR,S,,,1,1,2025,1.27,0.7,0.43,2.09,,,,1,9,Top,,,,,,,10.701036174528134,-137.86381393695672,-6.713653461692124,-18.645882550124767,32.96820773156399,-21.83838182023882,3.71,1.75,,,,93.4,2404,5.7,813022,669257,518692,669242,571970,605141,669743,571771,606192,54.85,,,,,,,,68,3,Sinker,1,6,6,1,6,1,6,1,Standard,Standard,224,0.0,-0.064,76.8,7.5,,0.064,88.0,-5,5,0.006,0.994,37,27,37,27,1,4,,,,,1.86,1.27,1.27,,-4.912587471791335,14.76283559737842,41.92760962476859,37.11034869031364,14.472122090853189,"Treinen, Blake",595014,R,0.7909999999999999,0.8220000000000001,0.375,,,,,0.491,,,26.2
FS,2025-10-29,89.6,-2.57,5.54,"Hoffman, Jeff",606192,656546,,called_strike,,,,,8,Called Strike,W,R,R,LAD,TOR,S,,,0,1,2025,1.27,0.9,0.27,1.57,,,669257.0,2,9,Bot,,,,,,,9.719863790710036,-129.9583637484273,-5.677516933291099,-16.4563330183024,28.212982852593697,-20.88919672772828,3.39,1.59,,,,89.7,1558,6.6,813022,672386,665489,643396,676391,665926,664702,662139,680718,53.86,,,,,,,,73,2,Split-Finger,1,6,1,6,6,1,1,6,Standard,Standard,239,0.0,-0.056,,,,0.056,,-5,-5,0.001,0.001,32,32,32,33,1,3,,,,,1.96,1.27,1.27,,,,,,,"Hoffman, Jeff",656546,R,0.976,0.986,,,0.95,,0.196,,,,68.0
CH,2025-10-29,87.3,2.26,6.22,"Snell, Blake",676914,605483,,called_strike,,,,,8,Called Strike,W,R,L,LAD,TOR,S,,,0,0,2025,1.27,0.36,0.26,1.64,,680718.0,665926.0,1,7,Top,,,,,,,-7.507531748239851,-126.72080028753632,-5.583235143854648,15.226075405907617,27.96241175658019,-27.243026389657636,3.17,1.53,,,,87.8,1634,6.9,813022,669257,518692,669242,571970,605141,669743,571771,606192,53.6,,,,,,,,50,1,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,129,0.0,-0.033,,,,0.033,,-2,2,0.153,0.847,32,26,33,26,4,3,,,,,2.66,1.27,-1.27,,,,,,,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
CH,2025-10-29,85.5,2.29,6.25,"Snell, Blake",676914,605483,strikeout,swinging_strike,,,,,9,Davis Schneider strikes out swinging.,W,R,L,LAD,TOR,S,2.0,,3,2,2025,1.26,0.38,0.29,1.72,680718.0,,665926.0,1,7,Top,,,,,,,-7.290251946111438,-124.19220201704938,-5.134434301455953,14.48596703311754,25.818989099475875,-27.38582897382576,3.11,1.52,,,,85.7,1776,6.6,813022,669257,518692,669242,571970,605141,669743,571771,606192,53.9,,0.0,0.0,1.0,0.0,0.0,,50,6,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,131,0.044,-0.367,73.6,7.7,,0.367,,-2,2,0.131,0.869,32,26,33,26,4,3,,,,,2.76,1.26,-1.26,,28.640449582904957,-17.246609086962845,32.55684140671832,36.3309854075136,41.81111457744515,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
