pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,entity_id
SI,2025-08-19,95.0,-2.25,6.08,"Rutledge, Jackson",668901,671131,,swinging_strike,,,,,7,"Mark Vientos grounds out, second baseman Paul DeJong to first baseman Andrés Chaparro.",R,R,R,WSH,NYM,S,,,0,1,2025,1.61,0.74,-0.41,1.6,,,,2,9,Top,,,,,,,8.418294151134624,-138.0601757438395,-7.749108312942941,-22.497116662943416,28.11519539985277,-21.25453704538611,3.63,1.67,,,,95.1,2071.0,6.2,776678,656180,665953,657557,691781,682928,695578,696285,686611,54.27,,,,,,,,69,2,Sinker,1,8,8,1,8,1,8,1,Strategic,Standard,231.0,0.0,-0.055,71.4,8.1,,0.055,,-7,7,0.001,0.999,26,25,26,26,1,4,,,,,1.78,1.61,1.61,,14.389365135438286,-2.887360325660064,37.87284272058288,33.743702763588416,26.39156269721245,0.903,0.956,0.381,,0.8490000000000001,,0.152,,,671131
SI,2025-08-19,95.0,1.9,5.33,"Romero, JoJo",805300,668941,,called_strike,,,,,5,Jakob Marsee called out on strikes.,R,L,L,MIA,STL,S,,,0,1,2025,1.6,0.22,-0.12,2.27,,,,0,8,Bot,,,,,,,-8.69757031141522,-137.87901906776526,-2.7056492768818594,22.36310153957594,35.29674277812436,-28.870850860210684,3.34,1.49,,,,92.8,2240.0,5.4,776686,686780,575929,695336,669357,691026,676475,701675,663457,55.06,,,,,,,,67,2,Sinker,4,7,4,7,7,4,4,7,Standard,Standard,127.0,0.0,-0.054,,,,0.054,,-3,-3,0.079,0.079,28,24,29,24,1,3,,,,,2.35,1.6,1.6,,,,,,,0.835,0.835,,0.9450000000000001,,,0.385,,0.365,668941
SI,2025-08-19,95.5,2.03,5.89,"Sánchez, Cristopher",647304,650911,strikeout,swinging_strike,,,,,6,Josh Naylor strikes out swinging.,R,L,L,PHI,SEA,S,2.0,,1,2,2025,1.58,0.18,0.78,2.28,,553993.0,,0,6,Top,,,,,,,-6.90715785202197,-138.8564666007641,-4.29506342130488,22.02794014156116,31.089434568548377,-29.06558270615399,3.2,1.51,,,,96.2,2151.0,6.8,776680,592663,547180,681082,664761,607208,669016,664056,592206,53.74,,0.0,0.0,1.0,0.0,0.0,,45,4,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,119.0,0.044,-0.238,72.1,7.0,,0.238,,3,-3,0.813,0.187,28,28,29,28,3,2,,,,,2.32,1.58,1.58,,3.919924740112109,-8.541678192749181,32.593965200393924,25.64912491027493,22.512470110874293,,0.924,,0.836,,,0.233,,,650911
CH,2025-08-19,87.9,-2.39,5.63,"McGreevy, Michael",689414,700241,strikeout,swinging_strike,,,,,13,Liam Hicks strikes out swinging.,R,L,R,MIA,STL,S,2.0,,1,2,2025,1.58,-0.14,-0.49,0.77,669364.0,682663.0,,1,6,Bot,,,,,,,7.994403574329924,-127.64164571500746,-5.310574997834851,-18.97361332075127,30.609758422025067,-32.61876391768384,3.37,1.56,,,,88.4,1700.0,7.1,776686,686780,575929,695336,669357,691026,676475,701675,663457,53.43,,0.0,0.0,1.0,0.0,0.0,,53,4,Changeup,2,6,2,6,6,2,2,6,Standard,Standard,231.0,-0.063,-0.288,67.2,7.9,,0.288,,-4,-4,0.16,0.16,24,26,25,26,3,2,,,,,3.14,1.58,-1.58,,22.915299306340856,-21.84376115671804,38.476980490840376,39.73774464122954,43.02437126197784,0.861,0.77,0.40700000000000003,0.747,,0.809,,0.51,,700241
SI,2025-08-19,91.1,2.9,5.03,"Bernardino, Brennan",683002,657514,,called_strike,,,,,8,"Gunnar Henderson grounds out, pitcher Brennan Bernardino to first baseman Abraham Toro.",R,L,L,BOS,BAL,S,,,0,1,2025,1.58,0.41,0.15,1.97,,,,2,9,Top,,,,,,,-10.149329032866287,-132.26114716891271,-2.611059453211852,20.77458941844445,28.377977267500132,-26.98568218781112,3.75,1.85,,,,89.7,2147.0,5.6,776684,657136,647351,663853,608324,596115,807799,680776,701350,54.94,,,,,,,,71,2,Sinker,1,3,3,1,3,1,3,1,Infield shade,Standard,124.0,0.0,-0.055,,,,0.055,,-2,2,0.084,0.916,33,24,33,24,1,4,,,,,2.35,1.58,1.58,,,,,,,,0.7540000000000001,0.256,0.887,,0.543,0.17,,,657514
SI,2025-08-19,94.4,2.07,5.98,"Sánchez, Cristopher",553993,650911,,called_strike,,,,,6,Eugenio Suárez singles on a ground ball to left fielder Brandon Marsh.,R,R,L,PHI,SEA,S,,,0,0,2025,1.58,0.57,0.31,2.25,,,,0,2,Top,,,,,,,-8.17293023483438,-137.11860737923902,-5.303125306084568,21.73752836795013,31.053384489376004,-23.93023858643771,3.5,1.59,,,,95.2,2197.0,6.9,776680,592663,547180,681082,664761,607208,669016,664056,592206,53.62,,,,,,,,9,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,119.0,0.0,-0.04,,,,0.04,,1,-1,0.608,0.392,28,33,29,34,1,0,,,,,2.0,1.58,-1.58,,,,,,,,0.924,,0.836,,,0.233,,,650911
CH,2025-08-19,87.0,2.15,5.98,"Sánchez, Cristopher",641598,650911,,called_strike,,,,,9,"Mitch Garver grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",R,R,L,PHI,SEA,S,,,0,0,2025,1.57,-0.1,0.38,1.75,,553993.0,,1,6,Top,,,,,,,-7.554069689666148,-126.5001300910557,-3.814149050483023,18.43551205241416,24.528332463626068,-32.70665848963658,3.51,1.62,,,,88.1,2079.0,6.9,776680,592663,547180,681082,664761,607208,669016,664056,592206,53.56,,,,,,,,46,1,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,106.0,0.0,-0.033,,,,0.033,,3,-3,0.857,0.143,28,34,29,34,3,2,,,,,3.11,1.57,-1.57,,,,,,,,0.924,,0.836,,,0.233,,,650911
SI,2025-08-19,93.8,-2.23,5.37,"Teng, Kai-Wei",593428,678906,,called_strike,,,,,2,Xander Bogaerts hit by pitch. Ryan O'Hearn to 2nd.,R,R,R,SD,SF,S,,,0,1,2025,1.57,0.1,0.21,3.1,,,656811.0,0,4,Bot,,,,,,,9.742577927420063,-136.08704258977022,-0.2200138005018104,-21.77052674465623,36.014878408699495,-31.18009928575938,3.67,1.69,,,,92.6,2343.0,6.2,776667,672275,642086,666149,669477,683766,671218,808982,687551,54.28,,,,,,,,31,2,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,236.0,0.0,-0.052,,,,0.052,,0,0,0.602,0.602,26,32,27,33,2,1,,,,,2.55,1.57,1.57,,,,,,,0.772,0.736,,0.8690000000000001,,0.7290000000000001,,0.449,,678906
SI,2025-08-19,94.5,1.79,5.34,"Romero, JoJo",805300,668941,strikeout,called_strike,,,,,7,Jakob Marsee called out on strikes.,R,L,L,MIA,STL,S,2.0,,1,2,2025,1.57,0.28,-0.38,1.62,,,,0,8,Bot,,,,,,,-8.981540433450402,-137.30833531923406,-4.54416913997281,21.93555323787077,32.2994422200288,-27.721851691333352,3.33,1.58,,,,92.8,2309.0,5.5,776686,686780,575929,695336,669357,691026,676475,701675,663457,55.01,,0.0,0.0,1.0,0.0,0.0,,67,6,Sinker,4,7,4,7,7,4,4,7,Infield shade,Standard,127.0,-0.025,-0.193,,,,0.193,,-3,-3,0.079,0.079,28,24,29,24,1,3,,,,,2.29,1.57,1.57,,,,,,,0.835,0.835,,0.9450000000000001,,,0.385,,0.365,668941
SI,2025-08-19,97.2,-1.28,5.92,"Cabrera, Edward",671056,665795,,swinging_strike,,,,,7,Iván Herrera singles on a line drive to right fielder Troy Johnston. Lars Nootbaar scores.,R,R,R,MIA,STL,S,,,0,0,2025,1.57,0.81,-0.8,1.93,,,663457.0,0,1,Top,,,,,,,4.909664942212211,-141.2284414868427,-6.97528566781344,-22.04233236670926,35.20694157254688,-19.925746736150483,3.48,1.58,,,,97.2,2374.0,6.6,776686,682663,676572,669364,691185,672640,681715,805300,687859,53.93,,,,,,,,2,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,226.0,0.0,-0.04,80.7,8.6,,0.04,,0,0,0.464,0.536,27,25,27,25,1,0,,,,,1.63,1.57,1.57,,19.043383056266222,-16.149995152966437,36.43083567841768,26.93820986172114,36.89304536274212,0.917,0.8790000000000001,,0.929,,0.767,0.21600000000000003,,,665795
