pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_SL,eta_ST,eta_SV,eta_KC,IP
FF,2025-10-24,93.9,-0.44,7.18,"Yesavage, Trey",669242,702056,,swinging_strike,,,,,2,Swinging Strike,W,R,R,TOR,LAD,S,,,1,0,2025,0.31,1.77,-0.07,3.4,,571970.0,571771.0,1,2,Top,,,,,,,1.626973987030653,-136.39900577156607,-7.810443271875807,-4.177746075231091,34.295585233557254,-8.641818837003996,3.38,1.57,,,,92.8,2347,6.1,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.44,,,,,,,,14,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,193,0.0,-0.046,69.1,6.2,,0.046,,-1,1,0.357,0.643,21,30,22,30,1,0,,,,,0.86,0.31,0.31,,2.077410532360367,28.281589092728893,24.54438925454231,37.208719227504,12.319942177183773,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
SL,2025-10-24,88.2,-0.74,7.1,"Yesavage, Trey",571771,702056,strikeout,swinging_strike,,,,,14,Enrique Hernández strikes out swinging.,W,R,R,TOR,LAD,S,2.0,,0,2,2025,0.3,0.29,0.19,1.11,,,,0,4,Top,,,,,,,2.858735579899067,-128.2085908437894,-8.99451976837208,-3.9083525854476617,28.354469391338228,-27.241234703815405,3.42,1.67,,,,87.7,2170,6.2,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.28,,0.0,0.0,1.0,0.0,0.0,,29,3,Slider,0,2,2,0,2,0,2,0,Standard,Standard,211,0.017,-0.165,71.9,8.5,,0.165,,-2,2,0.262,0.738,21,33,22,34,2,1,,,,,2.66,0.3,0.3,,19.261836999221007,-20.52159498498889,30.71173490009768,40.93223771886258,39.93135111234669,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
SL,2025-10-24,87.2,-0.61,7.29,"Yesavage, Trey",606192,702056,,swinging_strike,,,,,3,Swinging Strike,W,R,R,TOR,LAD,S,,,2,1,2025,0.3,0.31,0.47,2.92,,669257.0,,1,3,Top,,,,,,,3.192007974760054,-126.94620615895973,-4.911179606124197,-3.867003807963323,26.892267465226865,-28.048803135912426,3.43,1.58,,,,86.5,2109,5.9,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.61,,,,,,,,24,4,Slider,0,2,2,0,2,0,2,0,Standard,Standard,205,0.0,-0.065,74.6,7.4,,0.065,,-2,2,0.264,0.736,21,32,22,33,2,1,,,,,2.7,0.3,0.3,,3.11711950163653,24.09911123289521,29.86895696569923,43.55100415220256,15.22620145666854,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
FF,2025-10-24,94.0,-0.46,7.12,"Yesavage, Trey",669257,702056,,called_strike,,,,,7,Called Strike,W,R,R,TOR,LAD,S,,,0,0,2025,0.3,1.75,-0.37,1.84,,605141.0,518692.0,0,3,Top,,,,,,,0.8898154004327821,-136.31348033635695,-11.626397218759578,-3.911848593809598,35.82443312782932,-7.929038312715421,3.4,1.58,,,,92.8,2286,6.2,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.31,,,,,,,,23,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,196,0.0,-0.053,,,,0.053,,-1,1,0.299,0.701,21,30,22,30,2,1,,,,,0.89,0.3,0.3,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
FF,2025-10-24,94.2,2.04,6.5,"Snell, Blake",664702,605483,,called_strike,,,,,4,Called Strike,W,R,L,TOR,LAD,S,,,0,0,2025,0.29,1.52,-0.55,2.17,,,676391.0,0,2,Bot,,,,,,,-7.451658634693745,-136.68497258796745,-8.918108768850097,5.4500552918020535,32.9067285533769,-11.257000164021088,3.42,1.58,,,,94.8,2434,7.0,813027,669257,518692,669242,571970,605141,571771,681624,606192,53.52,,,,,,,,18,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Standard,160,0.0,-0.042,,,,0.042,,-1,-1,0.478,0.478,32,30,33,31,1,0,,,,,1.08,0.29,-0.29,,,,,,,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
FF,2025-10-24,98.5,-2.01,5.45,"Domínguez, Seranthony",606192,622554,strikeout,called_strike,,,,,9,Teoscar Hernández called out on strikes.,W,R,R,TOR,LAD,S,2.0,,2,2,2025,0.25,1.39,0.47,1.62,,,,0,6,Top,,,,,,,7.315542905456796,-142.98389111182095,-8.110932734279617,-5.285913798114183,35.388227647900386,-11.414297553783028,3.43,1.58,,,,98.3,2516,6.5,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.02,,0.0,0.0,1.0,0.0,0.0,,44,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,222,0.033,-0.232,,,,0.232,,0,0,0.5,0.5,30,32,31,33,1,2,,,,,0.99,0.25,0.25,,,,,,,"Domínguez, Seranthony",622554,R,0.8320000000000001,0.8220000000000001,,,0.947,0.7590000000000001,,0.4039999999999999,,0.7590000000000001,62.2
FF,2025-10-24,95.1,-0.44,7.14,"Yesavage, Trey",660271,702056,,called_strike,,,,,2,Called Strike,W,L,R,TOR,LAD,S,,,1,0,2025,0.25,1.76,-0.27,3.26,,,,0,1,Top,,,,,,,0.9911853979272512,-138.17192062488604,-8.354926158022938,-3.371206858510785,34.338117051581456,-7.98012672699474,3.55,1.58,,,,94.1,2373,6.0,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.47,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,195,0.0,-0.05,,,,0.05,,0,0,0.5,0.5,21,30,22,31,1,0,,,,,0.79,0.25,-0.25,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
SL,2025-10-24,88.1,-0.64,7.19,"Yesavage, Trey",571970,702056,,called_strike,,,,,6,Called Strike,W,L,R,TOR,LAD,S,,,0,0,2025,0.24,0.13,0.61,2.02,,,606192.0,1,2,Top,,,,,,,3.490189445657547,-128.12234602353078,-6.634769403419753,-3.43709124607962,27.37276324184852,-29.52322065839166,3.07,1.47,,,,87.0,2136,5.7,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.81,,,,,,,,12,1,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,213,0.0,-0.04,,,,0.04,,0,0,0.497,0.503,21,34,22,35,1,0,,,,,2.82,0.24,-0.24,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
FF,2025-10-24,97.4,-1.95,5.49,"Domínguez, Seranthony",606192,622554,,swinging_strike,,,,,5,Swinging Strike,W,R,R,TOR,LAD,S,,,2,1,2025,0.22,1.32,-0.23,2.68,,,,0,6,Top,,,,,,,5.150926621453928,-141.64982784524497,-5.03290644842044,-4.261631414281094,34.585639442108246,-13.423273924311417,3.43,1.58,,,,97.3,2330,6.4,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.09,,,,,,,,44,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,207,0.0,-0.073,73.3,7.2,,0.073,,0,0,0.5,0.5,30,32,31,33,1,2,,,,,1.1,0.22,0.22,,7.081522972512296,8.826860586198665,35.16733336079247,35.71206676910752,22.331830371255773,"Domínguez, Seranthony",622554,R,0.8320000000000001,0.8220000000000001,,,0.947,0.7590000000000001,,0.4039999999999999,,0.7590000000000001,62.2
SL,2025-10-24,87.7,-0.5,7.24,"Yesavage, Trey",606192,702056,,called_strike,,,,,12,Called Strike,W,R,R,TOR,LAD,S,,,1,0,2025,0.21,0.51,0.84,2.6,,,669257.0,0,2,Top,,,,,,,3.640455402120199,-127.53016350804344,-6.048925058858742,-3.0888186895818768,27.8645156977038,-25.571930302337694,3.27,1.52,,,,87.0,2164,6.0,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.48,,,,,,,,11,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,202,0.0,-0.048,,,,0.048,,0,0,0.462,0.538,21,32,22,33,1,0,,,,,2.48,0.21,0.21,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
SL,2025-10-24,88.7,-0.69,7.2,"Yesavage, Trey",681624,702056,,called_strike,,,,,9,Called Strike,W,R,R,TOR,LAD,S,,,0,0,2025,0.2,0.49,0.65,1.86,571970.0,571771.0,669242.0,1,2,Top,,,,,,,3.7092490389207504,-128.8917761471447,-7.948289220552685,-3.0801680580772146,28.09085703695574,-25.23264368028894,3.49,1.63,,,,88.2,2163,6.1,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.36,,,,,,,,15,1,Slider,0,1,1,0,1,0,1,0,Standard,Standard,207,0.0,-0.05,,,,0.05,,-1,1,0.303,0.697,21,24,22,25,1,0,,,,,2.43,0.2,0.2,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
SL,2025-10-24,88.9,-0.51,7.25,"Yesavage, Trey",605141,702056,,called_strike,,,,,12,Called Strike,W,R,R,TOR,LAD,S,,,2,1,2025,0.19,0.43,0.92,2.57,,,,1,1,Top,,,,,,,3.884824320662074,-129.26822618559711,-6.267646719273695,-3.006665443015372,28.189541535075893,-26.19629542147018,3.16,1.48,,,,88.2,2268,6.0,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.48,,,,,,,,2,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,187,0.0,-0.07,,,,0.07,,0,0,0.522,0.478,21,32,22,33,1,0,,,,,2.47,0.19,0.19,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
FC,2025-10-24,89.1,2.08,5.76,"Lauer, Eric",605141,641778,strikeout,swinging_strike,,,,,12,Mookie Betts strikes out swinging.,W,R,L,TOR,LAD,S,2.0,,2,2,2025,0.18,0.98,0.91,3.07,,,660271.0,2,9,Top,,,,,,,-3.2569964825135296,-129.76048186724998,-2.623034535696689,2.723882388901112,28.273196228133997,-20.73458709560615,3.23,1.52,,,,88.8,2543,6.2,813027,672386,665489,643396,676391,665926,664770,662139,680718,54.34,,0.0,0.0,1.0,0.0,0.0,,78,7,Cutter,11,4,4,11,4,11,4,11,Standard,Standard,157,0.001,-0.217,72.9,5.9,,0.217,,7,-7,0.999,0.001,30,32,30,33,1,4,,,,,1.89,0.18,-0.18,,-13.357673510051669,35.64762270427853,26.002306946893345,47.898184959940615,15.232268464906976,"Lauer, Eric",641778,L,0.936,,0.386,0.969,,0.6970000000000001,0.273,,,0.6970000000000001,104.2
SL,2025-10-24,87.6,-0.76,7.13,"Yesavage, Trey",571970,702056,,swinging_strike,,,,,14,Swinging Strike,W,L,R,TOR,LAD,S,,,1,1,2025,0.16,0.19,0.77,1.09,669257.0,,,2,3,Top,,,,,,,3.993765233237256,-127.26352407400915,-8.753974297293183,-2.6160561830556546,27.19077875548868,-28.446808945574936,3.1,1.51,,,,87.0,2200,6.1,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.44,,,,,,,,25,3,Slider,0,2,2,0,2,0,2,0,Standard,Standard,212,0.0,-0.065,65.0,8.3,,0.065,,-2,2,0.287,0.713,21,34,22,35,2,1,,,,,2.8,0.16,-0.16,,33.00637638681005,-50.61883401779166,36.10356322774899,30.80491965657187,58.81169294583293,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
SL,2025-10-24,88.6,-0.54,7.22,"Yesavage, Trey",606192,702056,,called_strike,,,,,7,Called Strike,W,R,R,TOR,LAD,S,,,1,1,2025,0.13,0.52,-0.58,1.69,,,669257.0,0,2,Top,,,,,,,0.1827518715078683,-128.78660213408796,-8.4129179986295,-1.529115966694153,27.96999756159885,-24.85504296003669,3.41,1.57,,,,87.8,2206,6.0,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.54,,,,,,,,11,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,198,0.0,-0.07,,,,0.07,,0,0,0.462,0.538,21,32,22,33,1,0,,,,,2.41,0.13,0.13,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
FF,2025-10-24,93.3,-0.19,7.11,"Yesavage, Trey",669257,702056,,called_strike,,,,,3,Called Strike,W,R,R,TOR,LAD,S,,,2,0,2025,0.11,1.63,0.32,3.3,,,,0,2,Top,,,,,,,1.5545963317931324,-135.6036739958694,-7.454415079051854,-1.7259760038229692,36.37986595634146,-10.7145108495818,3.37,1.51,,,,92.1,2170,6.1,813027,672386,665489,666182,676391,665926,676914,662139,664702,54.35,,,,,,,,10,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,193,0.0,-0.072,,,,0.072,,0,0,0.5,0.5,21,30,22,30,1,0,,,,,1.05,0.11,0.11,,,,,,,"Yesavage, Trey",702056,R,0.995,,,,0.902,,0.532,,,,
SL,2025-10-24,91.2,2.0,6.39,"Snell, Blake",665926,605483,strikeout,called_strike,,,,,7,Andrés Giménez called out on strikes.,W,L,L,TOR,LAD,S,2.0,,2,2,2025,0.1,0.69,-0.64,1.73,,,,2,4,Bot,,,,,,,-6.877455800110983,-132.5032530758482,-7.290684477188751,2.7673371435408334,30.65373907829208,-22.590134101066468,3.3,1.52,,,,91.5,2307,6.7,813027,669257,518692,669242,571970,605141,571771,681624,606192,53.78,,0.0,0.0,1.0,0.0,0.0,,36,5,Slider,2,2,2,2,2,2,2,2,Standard,Standard,162,-0.013,-0.224,,,,0.224,,0,0,0.513,0.513,32,26,33,27,2,1,,,,,2.08,0.1,0.1,,,,,,,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
SL,2025-10-24,90.5,2.03,6.45,"Snell, Blake",665489,605483,,swinging_strike,,,,,13,Swinging Strike,W,R,L,TOR,LAD,S,,,0,0,2025,0.04,0.67,-0.3,1.42,,,,2,5,Bot,,,,,,,-5.948551405375946,-131.51060907817617,-8.067634486938015,1.7721726737260908,30.080204313678383,-22.806230995942503,3.65,1.62,,,,91.2,2268,7.0,813027,669257,518692,669242,571970,605141,571771,681624,606192,53.51,,,,,,,,43,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,162,0.0,-0.043,79.6,8.8,,0.043,,0,0,0.514,0.514,32,26,33,26,3,2,,,,,2.14,0.04,-0.04,,19.83424409961438,-33.72534432060086,33.69095718060548,31.63630350812571,45.68978061901583,"Snell, Blake",605483,L,0.92,,,0.985,,0.6,0.552,,,0.6,61.1
SL,2025-10-24,89.2,0.6,6.61,"Fisher, Braydon",605141,680755,,called_strike,,,,,2,Called Strike,W,R,R,TOR,LAD,S,,,0,1,2025,-0.05,0.23,-0.13,2.8,,,,1,7,Top,,,,,,,-1.8669892060116189,-129.9837852647269,-3.8151416019161433,0.9044019032755146,27.058032988419896,-28.97890822667525,3.23,1.52,,,,88.0,2355,5.5,813027,672386,665489,643396,676391,665926,664770,662139,680718,55.05,,,,,,,,62,2,Slider,11,4,4,11,4,11,4,11,Standard,Standard,188,0.0,-0.052,,,,0.052,,7,-7,0.995,0.005,24,32,25,33,1,3,,,,,2.62,-0.05,-0.05,,,,,,,"Fisher, Braydon",680755,R,0.945,,0.6659999999999999,,,0.772,0.187,,,0.772,50.0
CU,2025-10-24,82.5,0.39,6.62,"Fisher, Braydon",660271,680755,,called_strike,,,,,7,Called Strike,W,L,R,TOR,LAD,S,,,0,0,2025,-0.11,-1.21,-0.37,2.17,,,669242.0,1,7,Top,,,,,,,-1.9403820351094565,-120.07575583962652,-1.1766632053872572,1.528580823624384,26.80366253952024,-43.74359035356744,3.51,1.65,,,,80.9,2547,5.5,813027,672386,665489,643396,676391,665926,664770,662139,680718,54.97,,,,,,,,61,1,Curveball,11,2,2,11,2,11,2,11,Infield shade,Standard,20,0.0,-0.04,,,,0.04,,9,-9,0.998,0.002,24,30,25,31,1,3,,,,,4.6,-0.11,0.11,,,,,,,"Fisher, Braydon",680755,R,0.945,,0.6659999999999999,,,0.772,0.187,,,0.772,50.0
