pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_KC,eta_SL,eta_ST,eta_SV
CU,2025-10-19,80.7,-0.81,5.75,"Gilbert, Logan",665926,669302,,swinging_strike,,,,,14,Swinging Strike,L,L,R,TOR,SEA,S,,,1,1,2025,1.25,0.63,0.51,1.0,,,,0,4,Bot,,,,,,,0.5308908387169202,-117.48138593600476,-2.655167083080398,11.364166055670577,25.84237811732568,-37.58004802609901,3.31,1.52,,,,81.9,2269,7.4,813038,663728,647304,660844,553993,641487,668227,677594,686527,53.07,,,,,,,,34,3,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,39,0.0,-0.061,74.7,8.0,,0.061,,4,4,0.919,0.919,28,26,28,27,2,1,,,,,4.17,-1.25,1.25,,22.8920011729541,-29.349597049485368,38.30075185467483,33.77794390765445,47.88731428328887,"Gilbert, Logan",669302,R,0.972,0.985,,,0.5750000000000001,0.647,0.647,0.165,,
KC,2025-10-19,88.6,-3.11,5.43,"Varland, Louis",553993,686973,,called_strike,,,,,6,Called Strike,L,R,R,TOR,SEA,S,,,3,1,2025,0.3,0.53,0.3,2.15,,,668227.0,2,6,Top,,,,,,,7.812527094405886,-128.8929755365073,-0.8584430154661731,1.767240130250352,25.981229037335044,-38.087410011909206,3.42,1.56,,,,89.8,2333,7.0,813038,672386,665489,643396,676391,665926,664770,662139,680718,53.52,,,,,,,,49,5,Knuckle Curve,5,1,1,5,1,5,1,5,Infield shade,Standard,47,0.0,-0.095,,,,0.095,,4,-4,0.943,0.057,27,33,28,34,1,2,,,,,3.42,-0.3,-0.3,,,,,,,"Varland, Louis",686973,R,0.919,0.939,,0.851,,0.516,0.516,0.379,,
CU,2025-10-19,79.6,-0.53,5.89,"Gilbert, Logan",672386,669302,,called_strike,,,,,2,Called Strike,L,R,R,TOR,SEA,S,,,0,0,2025,1.22,0.52,0.11,3.09,,,,0,3,Bot,,,,,,,-0.9178213099943228,-115.92770961557788,1.6676460861703004,11.137178349322587,23.6146669055079,-37.36195021913375,3.11,1.48,,,,80.9,2297,7.3,813038,663728,647304,660844,553993,641487,668227,677594,686527,53.16,,,,,,,,24,1,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,43,0.0,-0.039,,,,0.039,,2,2,0.772,0.772,28,26,28,27,2,1,,,,,4.13,-1.22,-1.22,,,,,,,"Gilbert, Logan",669302,R,0.972,0.985,,,0.5750000000000001,0.647,0.647,0.165,,
KC,2025-10-19,88.3,-3.18,5.52,"Varland, Louis",641487,686973,,called_strike,,,,,5,Called Strike,L,L,R,TOR,SEA,S,,,0,0,2025,0.21,0.48,-0.05,2.7,,,553993.0,2,6,Top,,,,,,,7.200218375334173,-128.47503804062708,0.2424239138298387,0.8440313044187503,27.183003565148283,-37.78177334633384,3.32,1.56,,,,88.6,2367,6.5,813038,672386,665489,643396,676391,665926,664770,662139,680718,53.99,,,,,,,,50,1,Knuckle Curve,5,2,2,5,2,5,2,5,Standard,Standard,58,0.0,-0.042,,,,0.042,,3,-3,0.897,0.103,27,30,28,30,1,2,,,,,3.41,-0.21,0.21,,,,,,,"Varland, Louis",686973,R,0.919,0.939,,0.851,,0.516,0.516,0.379,,
CU,2025-10-19,81.4,-0.64,5.71,"Gilbert, Logan",662139,669302,,called_strike,,,,,5,Called Strike,L,L,R,TOR,SEA,S,,,0,1,2025,1.25,0.44,-0.11,2.21,,,,1,3,Bot,,,,,,,-1.244810404902896,-118.45747815196096,-0.2701541328148579,11.85519235895349,26.54017459716649,-36.45444575296368,3.34,1.55,,,,82.2,2251,7.2,813038,663728,647304,660844,553993,641487,668227,677594,686527,53.28,,,,,,,,25,2,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,42,0.0,-0.052,,,,0.052,,2,2,0.757,0.757,28,28,28,29,2,1,,,,,3.93,-1.25,1.25,,,,,,,"Gilbert, Logan",669302,R,0.972,0.985,,,0.5750000000000001,0.647,0.647,0.165,,
SL,2025-10-19,87.2,-2.45,5.08,"Brash, Matt",680718,666374,,swinging_strike,,,,,9,Swinging Strike,L,L,R,TOR,SEA,S,,,3,1,2025,1.07,0.31,0.36,1.77,,672386.0,676391.0,2,7,Bot,,,,,,,4.565948446163109,-126.88580987182874,-1.1072318745977645,10.4989529080632,27.50072173192747,-35.48820763072857,3.67,1.73,,,,87.5,2988,6.6,813038,663728,647304,660844,553993,641487,668227,677594,686527,53.9,,,,,,,,62,5,Slider,6,2,6,2,2,6,6,2,Standard,Standard,54,0.0,-0.112,80.4,7.8,,0.112,,4,4,0.973,0.973,27,25,27,26,1,3,,,,,3.32,-1.07,1.07,,10.117084722064051,-13.807081826354102,27.865978877009898,31.925724000517,37.11549781747551,"Brash, Matt",666374,R,0.861,0.899,,0.7709999999999999,,,,0.513,,
FS,2025-10-19,80.5,-0.79,5.8,"Gilbert, Logan",680718,669302,,swinging_strike,,,,,13,Swinging Strike,L,L,R,TOR,SEA,S,,,0,1,2025,-0.63,0.31,-1.44,1.51,,662139.0,676391.0,0,2,Bot,,,,,,,-0.2337586251251262,-117.09016974088992,-2.0967154263102605,-5.637099769075684,27.385143391656307,-34.7800018664279,3.67,1.73,,,,81.3,512,7.4,813038,663728,647304,660844,553993,641487,668227,677594,686527,53.12,,,,,,,,13,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,276,0.0,-0.053,65.1,8.8,,0.053,,0,0,0.642,0.642,28,25,28,26,1,0,,,,,3.9,0.63,-0.63,,14.601629644531812,-30.130924466734974,19.91185635129815,50.93810508312474,50.42926227837378,"Gilbert, Logan",669302,R,0.972,0.985,,,0.5750000000000001,0.647,0.647,0.165,,
SL,2025-10-19,84.9,-0.77,5.86,"Gilbert, Logan",680718,669302,,called_strike,,,,,5,Called Strike,L,L,R,TOR,SEA,S,,,0,0,2025,-0.18,0.28,0.09,2.41,676391.0,,,2,3,Bot,,,,,,,2.4211536783324905,-123.63839577649992,-1.1813444439700214,-2.3299467952983144,25.95645397731667,-34.98257285068034,3.67,1.73,,,,86.7,1821,7.5,813038,663728,647304,660844,553993,641487,668227,677594,686527,53.01,,,,,,,,27,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,40,0.0,-0.044,,,,0.044,,2,2,0.765,0.765,28,25,28,26,2,1,,,,,3.45,0.18,-0.18,,,,,,,"Gilbert, Logan",669302,R,0.972,0.985,,,0.5750000000000001,0.647,0.647,0.165,,
SL,2025-10-19,83.9,-0.59,5.89,"Gilbert, Logan",665926,669302,,called_strike,,,,,6,Called Strike,L,L,R,TOR,SEA,S,,,0,0,2025,0.02,0.25,0.55,2.08,,,,0,4,Bot,,,,,,,2.640767924939573,-122.22124997867624,-1.9377558229674223,-0.3033719668211007,24.460458319956636,-34.504176970769834,3.31,1.52,,,,85.5,1976,7.3,813038,663728,647304,660844,553993,641487,668227,677594,686527,53.2,,,,,,,,34,1,Slider,4,0,4,0,0,4,4,0,Standard,Standard,34,0.0,-0.039,,,,0.039,,4,4,0.919,0.919,28,26,28,27,2,1,,,,,3.48,-0.02,0.02,,,,,,,"Gilbert, Logan",669302,R,0.972,0.985,,,0.5750000000000001,0.647,0.647,0.165,,
SL,2025-10-19,85.8,-2.29,5.06,"Brash, Matt",662139,666374,,swinging_strike,,,,,13,Swinging Strike,L,L,R,TOR,SEA,S,,,0,1,2025,0.97,0.24,-0.06,0.58,,665489.0,672386.0,1,7,Bot,,,,,,,3.3130044130885845,-124.92662043178078,-3.828736885417823,9.429312152717545,26.71329282945509,-34.10945872885779,3.34,1.55,,,,86.3,2888,6.7,813038,663728,647304,660844,553993,641487,668227,677594,686527,53.81,,,,,,,,60,2,Slider,5,2,5,2,2,6,6,2,Standard,Standard,48,0.022,-0.054,87.6,9.0,,0.054,,3,3,0.954,0.954,27,28,27,29,1,3,,,,,3.35,-0.97,0.97,,35.026934335103206,4.20814372997073,24.8096464122192,38.03679785976785,37.92486322404345,"Brash, Matt",666374,R,0.861,0.899,,0.7709999999999999,,,,0.513,,
