pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,entity_name,entity_id,pitch_hand,eta_FF,eta_SI,eta_FC,eta_CH,eta_FS,eta_CU,eta_KC,eta_SL,eta_ST,eta_SV
ST,2025-10-17,83.8,-0.82,5.31,"Miller, Bryce",672386,682243,strikeout,swinging_strike,,,,,14,Alejandro Kirk strikes out swinging.,L,R,R,SEA,TOR,S,2.0,,1,2,2025,1.71,-0.29,1.83,1.65,,665489.0,,2,1,Top,,,,,,,2.7619011447970787,-122.0044210317377,-1.4311852936820009,16.412733895747586,25.553474271377667,-34.944033520479096,3.12,1.48,,,,83.7,2360,6.3,813039,663728,647304,660844,553993,641487,668227,677594,686527,54.19,,0.0,0.0,1.0,0.0,0.0,,4,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,44,0.032,-0.208,60.0,7.1,,0.208,,0,0,0.515,0.485,26,26,27,27,1,0,,,,,3.55,-1.71,-1.71,,1.993299448139061,24.804746696563484,16.767750409635934,62.00923931435032,18.86982648309862,"Miller, Bryce",682243,R,0.928,0.8940000000000001,0.659,,0.6950000000000001,0.7070000000000001,0.7070000000000001,0.248,0.636,
ST,2025-10-17,82.3,-1.37,5.22,"Miller, Bryce",672386,682243,,called_strike,,,,,2,Called Strike,L,R,R,SEA,TOR,S,,,0,0,2025,1.44,-0.08,0.22,3.08,,664770.0,665489.0,0,4,Top,,,,,,,0.8137378255553858,-119.8041396562721,1.848301295231617,13.64933486956128,24.181739005327497,-33.51002760458806,3.04,1.53,,,,82.2,2283,6.3,813039,663728,647304,660844,553993,641487,668227,677594,686527,54.18,,,,,,,,25,1,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,55,0.0,-0.053,,,,0.053,,1,-1,0.512,0.488,26,26,27,27,2,1,,,,,3.45,-1.44,-1.44,,,,,,,"Miller, Bryce",682243,R,0.928,0.8940000000000001,0.659,,0.6950000000000001,0.7070000000000001,0.7070000000000001,0.248,0.636,
ST,2025-10-17,87.6,-2.38,5.41,"Ohtani, Shohei",661388,660271,strikeout,swinging_strike,,,,,12,William Contreras strikes out swinging.,L,R,R,LAD,MIL,S,2.0,,0,2,2025,1.41,0.51,1.1,2.61,,,668930.0,2,1,Top,,,,,,,5.513278360444748,-127.4779826499409,-1.7038816370208472,14.267678781243324,25.93085596596163,-26.475272799639548,3.39,1.63,,,,88.0,2853,6.5,813031,669257,518692,669242,571970,605141,571771,681624,606192,53.97,,0.0,0.0,1.0,0.0,0.0,,4,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,68,0.022,-0.174,73.1,8.3,,0.174,,0,0,0.525,0.475,30,27,31,28,1,0,,,,,2.46,-1.41,-1.41,,21.60977723670342,-37.08902573118311,24.317469253632687,46.59051662031813,52.27202694140889,"Ohtani, Shohei",660271,R,0.793,0.7640000000000001,0.399,,0.802,,,0.294,0.481,
ST,2025-10-17,84.0,-3.08,6.12,"Treinen, Blake",686555,595014,strikeout,swinging_strike,,,,,1,Isaac Collins strikes out swinging.,L,L,R,LAD,MIL,S,2.0,,0,2,2025,1.4,0.17,-0.69,2.81,702332.0,,655316.0,0,8,Top,,,,,,,2.7446263936225064,-122.34366874532748,-1.588776290242555,13.387151449814874,25.421838425552146,-30.40759811268745,3.27,1.56,,,,82.4,2619,5.3,813031,669257,518692,669242,571970,605141,571771,681624,606192,55.21,,0.0,0.0,1.0,0.0,0.0,,57,3,Sweeper,5,0,0,5,0,5,0,5,Standard,Standard,59,0.03,-0.244,62.4,5.9,,0.244,,5,-5,0.94,0.06,37,27,37,28,1,1,,,,,3.07,-1.4,1.4,,-1.2179716157869662,20.19669208795788,27.382753716345107,42.32364798807971,16.871937370976486,"Treinen, Blake",595014,R,0.779,0.8170000000000001,0.384,,,,,,0.516,
SL,2025-10-17,87.1,-2.24,5.26,"Brash, Matt",664770,666374,,called_strike,,,,,5,Called Strike,L,L,R,SEA,TOR,S,,,1,1,2025,1.4,-0.2,0.02,2.54,,543807.0,,2,5,Top,,,,,,,2.566042376563571,-126.80097568229536,0.0751255388962115,14.503391697087777,26.985881802898284,-34.6101521242715,3.33,1.48,,,,87.6,3031,6.7,813039,663728,647304,660844,553993,641487,668227,677594,686527,53.83,,,,,,,,36,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,59,0.0,-0.057,,,,0.057,,0,0,0.519,0.481,27,30,27,31,1,2,,,,,3.22,-1.4,1.4,,,,,,,"Brash, Matt",666374,R,0.861,0.899,,0.7709999999999999,,,,0.513,,
ST,2025-10-17,86.7,-2.54,5.42,"Ohtani, Shohei",661388,660271,strikeout,swinging_strike,,,,,14,William Contreras strikes out swinging.,L,R,R,LAD,MIL,S,2.0,,2,2,2025,1.31,0.1,1.51,1.63,694192.0,,,1,4,Top,,,,,,,7.055164917517681,-126.0327921953774,-3.029162020877438,12.336193705352631,27.289920368758946,-30.699344551530693,3.39,1.63,,,,87.0,2759,6.7,813031,669257,518692,669242,571970,605141,571771,681624,606192,53.83,,0.0,0.0,1.0,0.0,0.0,,29,5,Sweeper,3,0,0,3,0,3,0,3,Standard,Standard,66,0.052,-0.354,50.8,7.5,,0.354,,3,-3,0.786,0.214,30,27,31,28,2,1,,,,,2.96,-1.31,-1.31,,13.471766252490156,-16.98350662068457,23.900148524781635,51.95071837570398,42.98055387034346,"Ohtani, Shohei",660271,R,0.793,0.7640000000000001,0.399,,0.802,,,0.294,0.481,
ST,2025-10-17,85.7,-2.62,5.43,"Ohtani, Shohei",702332,660271,,called_strike,,,,,1,Called Strike,L,R,R,LAD,MIL,S,,,0,1,2025,1.29,0.55,-0.54,2.97,,,,1,5,Top,,,,,,,2.2974048554955746,-124.85609350878804,-0.6785857421517001,13.077569451214824,25.22140443591921,-26.496296203495795,3.43,1.54,,,,86.0,2802,6.4,813031,669257,518692,669242,571970,605141,571771,681624,606192,54.07,,,,,,,,36,2,Sweeper,4,0,0,4,0,4,0,4,Standard,Standard,68,0.0,-0.052,,,,0.052,,4,-4,0.921,0.079,30,25,31,25,2,1,,,,,2.55,-1.29,-1.29,,,,,,,"Ohtani, Shohei",660271,R,0.793,0.7640000000000001,0.399,,0.802,,,0.294,0.481,
SL,2025-10-17,87.6,-2.43,5.05,"Brash, Matt",664770,666374,,called_strike,,,,,12,Called Strike,L,L,R,SEA,TOR,S,,,1,0,2025,1.22,0.25,0.88,3.21,,543807.0,,2,5,Top,,,,,,,5.497146276725668,-127.52034162639028,1.1850520523271308,12.223998377271638,26.28053585166889,-29.9151616571282,3.41,1.56,,,,88.2,2989,6.6,813039,663728,647304,660844,553993,641487,668227,677594,686527,53.86,,,,,,,,36,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,57,0.0,-0.044,,,,0.044,,0,0,0.519,0.481,27,30,27,31,1,2,,,,,2.72,-1.22,1.22,,,,,,,"Brash, Matt",666374,R,0.861,0.899,,0.7709999999999999,,,,0.513,,
ST,2025-10-17,79.1,-2.32,5.7,"Ohtani, Shohei",668930,660271,,called_strike,,,,,4,Called Strike,L,L,R,LAD,MIL,S,,,0,0,2025,1.21,0.4,-0.3,2.71,,,,1,6,Top,,,,,,,2.136754025873034,-115.19464168161146,-0.4596947292915924,10.312188603054688,22.52316919707705,-28.77582413872589,3.62,1.62,,,,78.9,2530,6.3,813031,669257,518692,669242,571970,605141,571771,681624,606192,54.24,,,,,,,,42,1,Sweeper,4,0,0,4,0,4,0,4,Standard,Standard,65,0.0,-0.039,,,,0.039,,4,-4,0.941,0.059,30,25,31,26,3,2,,,,,3.25,-1.21,1.21,,,,,,,"Ohtani, Shohei",660271,R,0.793,0.7640000000000001,0.399,,0.802,,,0.294,0.481,
ST,2025-10-17,88.5,-2.1,5.51,"Ohtani, Shohei",661388,660271,,swinging_strike,,,,,9,Swinging Strike,L,R,R,LAD,MIL,S,,,0,1,2025,1.16,0.25,0.43,2.08,,,668930.0,2,1,Top,,,,,,,3.775565471506401,-128.9209922026444,-2.868394314769693,12.178607792855123,25.7958666469662,-28.964286142733556,3.39,1.63,,,,89.1,2671,6.5,813031,669257,518692,669242,571970,605141,571771,681624,606192,54.01,,,,,,,,4,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,72,0.0,-0.056,78.0,8.1,,0.056,,0,0,0.525,0.475,30,27,31,28,1,0,,,,,2.64,-1.16,-1.16,,22.13107619960337,-39.862425250868704,27.65733665548039,37.862552381714046,54.24328532989677,"Ohtani, Shohei",660271,R,0.793,0.7640000000000001,0.399,,0.802,,,0.294,0.481,
